# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IUBZEORPVU,0,0,1,9.979715533496006374e-01, 0.000000000000000000e+00, -6.366143813161290188e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.366143813161290188e-02, 0.000000000000000000e+00, 9.979715533496006374e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,33
# x,y,z,u,w
2.514888314440993367e-01, 0.000000000000000000e+00, -1.604268240916644980e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
2.466762888661820363e-01, 0.000000000000000000e+00, -1.551197314745076869e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
2.397546709401360832e-01, 0.000000000000000000e+00, -1.480570907116753043e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
2.300032635911398726e-01, 0.000000000000000000e+00, -1.392677652314026904e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
2.166592119346852086e-01, 0.000000000000000000e+00, -1.294785986653355231e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.991119299427301925e-01, 0.000000000000000000e+00, -1.205932847848385954e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
1.772152234386213943e-01, 0.000000000000000000e+00, -1.158382878210340028e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.516191477244590580e-01, 0.000000000000000000e+00, -1.188620793138977019e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.238718785781178777e-01, 0.000000000000000000e+00, -1.270079298113968580e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
9.612172215644197715e-02, 0.000000000000000000e+00, -1.340669502768412902e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
7.052432467555187767e-02, 0.000000000000000000e+00, -1.365123027042810556e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
4.862813031880890147e-02, 0.000000000000000000e+00, -1.317617113733912659e-02, 1.000000000000000000e+00, 1.586533649582798411e+00
3.110553506731676687e-02, 0.000000000000000000e+00, -1.191960048915591437e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.787389708729587856e-02, 0.000000000000000000e+00, -9.963142494938941746e-03, 1.000000000000000000e+00, 1.827739635619072267e+00
8.438876988889721514e-03, 0.000000000000000000e+00, -7.384036383438566560e-03, 1.000000000000000000e+00, 1.904044169930654951e+00
2.352120014051314878e-03, 0.000000000000000000e+00, -4.082443544970892034e-03, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.861573324115636287e-03, 0.000000000000000000e+00, 4.448397872945563693e-03, 1.000000000000000000e+00, 2.041733119767888294e+00
7.663598096724068623e-03, 0.000000000000000000e+00, 8.531572431701793524e-03, 1.000000000000000000e+00, 2.095955830069344827e+00
1.699595954266464731e-02, 0.000000000000000000e+00, 1.218470055797752673e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
3.032011040818913608e-02, 0.000000000000000000e+00, 1.539221253859655858e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
4.815242421181986643e-02, 0.000000000000000000e+00, 1.784385709527050792e-02, 1.000000000000000000e+00, 2.413466350417201589e+00
7.055975566610012129e-02, 0.000000000000000000e+00, 1.906196837679983297e-02, 1.000000000000000000e+00, 2.584161237591246607e+00
9.678495845512000151e-02, 0.000000000000000000e+00, 1.861239495066163707e-02, 1.000000000000000000e+00, 2.783663390284290440e+00
1.251395103797796338e-01, 0.000000000000000000e+00, 1.636248135558767552e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
1.533366783934091704e-01, 0.000000000000000000e+00, 1.261807310321164978e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
1.790959675117801964e-01, 0.000000000000000000e+00, 7.677091014054209656e-03, 1.000000000000000000e+00, 3.415838762408752949e+00
2.008357465092355243e-01, 0.000000000000000000e+00, 2.102720789114412899e-03, 1.000000000000000000e+00, 3.586533649582798411e+00
2.180325723308546293e-01, 0.000000000000000000e+00, -3.228928911416194519e-03, 1.000000000000000000e+00, 3.723464124463156111e+00
2.309632198807393122e-01, 0.000000000000000000e+00, -7.789214209160110272e-03, 1.000000000000000000e+00, 3.827739635619072267e+00
2.403259664636726578e-01, 0.000000000000000000e+00, -1.139607281686972479e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
2.469247317666863339e-01, 0.000000000000000000e+00, -1.409652772104291220e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
2.514888314440993367e-01, 0.000000000000000000e+00, -1.604268240916644980e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
