  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA(4.00)(6.00)(13.00)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.298 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.7199   0.02278   0.01622  -0.1045   0.9735   0.0181
  -9.750  -0.6950   0.02233   0.01567  -0.1045   0.9703   0.0195
  -9.500  -0.6715   0.02185   0.01513  -0.1043   0.9666   0.0209
  -9.250  -0.6430   0.02146   0.01465  -0.1050   0.9641   0.0223
  -9.000  -0.6124   0.02105   0.01418  -0.1061   0.9620   0.0239
  -8.750  -0.5802   0.02070   0.01376  -0.1075   0.9602   0.0260
  -8.500  -0.5469   0.02032   0.01332  -0.1091   0.9587   0.0270
  -8.250  -0.5126   0.01999   0.01292  -0.1109   0.9576   0.0284
  -8.000  -0.4774   0.01971   0.01257  -0.1128   0.9566   0.0299
  -7.750  -0.4586   0.01942   0.01226  -0.1114   0.9524   0.0313
  -7.500  -0.4337   0.01914   0.01193  -0.1113   0.9487   0.0332
  -7.250  -0.4030   0.01881   0.01160  -0.1122   0.9460   0.0370
  -7.000  -0.3698   0.01849   0.01126  -0.1137   0.9439   0.0397
  -6.750  -0.3352   0.01820   0.01095  -0.1153   0.9423   0.0431
  -6.500  -0.2993   0.01792   0.01066  -0.1172   0.9409   0.0482
  -6.250  -0.2625   0.01765   0.01039  -0.1193   0.9398   0.0546
  -6.000  -0.2291   0.01742   0.01016  -0.1206   0.9379   0.0616
  -5.500  -0.1832   0.01699   0.00983  -0.1193   0.9284   0.0823
  -5.250  -0.1500   0.01676   0.00964  -0.1206   0.9265   0.0940
  -5.000  -0.1155   0.01655   0.00946  -0.1221   0.9250   0.1066
  -4.750  -0.0794   0.01631   0.00927  -0.1240   0.9238   0.1215
  -4.500  -0.0417   0.01606   0.00907  -0.1261   0.9226   0.1376
  -4.250  -0.0027   0.01580   0.00887  -0.1285   0.9216   0.1584
  -3.500   0.0785   0.01526   0.00863  -0.1285   0.9085   0.2320
  -3.250   0.1159   0.01497   0.00851  -0.1305   0.9070   0.2759
  -3.000   0.1541   0.01471   0.00834  -0.1326   0.9059   0.3048
  -2.750   0.1939   0.01438   0.00812  -0.1350   0.9049   0.3311
  -2.500   0.2328   0.01410   0.00789  -0.1371   0.9040   0.3588
  -2.000   0.2796   0.01397   0.00792  -0.1352   0.8921   0.4043
  -1.750   0.3176   0.01360   0.00761  -0.1370   0.8904   0.4310
  -1.500   0.3549   0.01326   0.00736  -0.1387   0.8889   0.4578
  -1.250   0.3919   0.01296   0.00713  -0.1403   0.8875   0.4851
  -1.000   0.4112   0.01301   0.00726  -0.1385   0.8796   0.5060
  -0.750   0.4447   0.01269   0.00701  -0.1392   0.8759   0.5302
  -0.500   0.4805   0.01234   0.00673  -0.1405   0.8733   0.5550
  -0.250   0.5164   0.01202   0.00649  -0.1417   0.8712   0.5794
   0.000   0.5413   0.01196   0.00650  -0.1409   0.8648   0.6007
   0.250   0.5718   0.01174   0.00633  -0.1410   0.8596   0.6227
   0.500   0.6065   0.01141   0.00604  -0.1420   0.8561   0.6452
   0.750   0.6377   0.01117   0.00587  -0.1423   0.8512   0.6653
   1.000   0.6637   0.01099   0.00577  -0.1415   0.8433   0.6855
   1.250   0.6984   0.01062   0.00546  -0.1424   0.8386   0.7080
   1.500   0.7224   0.01051   0.00545  -0.1413   0.8295   0.7296
   1.750   0.7554   0.01016   0.00518  -0.1419   0.8236   0.7545
   2.000   0.7778   0.01002   0.00518  -0.1404   0.8129   0.7848
   2.250   0.8018   0.00977   0.00510  -0.1391   0.8032   0.8313
   2.500   0.8320   0.00932   0.00485  -0.1387   0.7936   1.0000
   2.750   0.8610   0.00927   0.00474  -0.1388   0.7808   1.0000
   3.000   0.8860   0.00928   0.00471  -0.1379   0.7636   1.0000
   3.250   0.9119   0.00929   0.00466  -0.1373   0.7441   1.0000
   3.500   0.9384   0.00934   0.00463  -0.1367   0.7243   1.0000
   3.750   0.9627   0.00946   0.00468  -0.1358   0.7013   1.0000
   4.000   0.9867   0.00962   0.00474  -0.1348   0.6751   1.0000
   4.250   1.0093   0.00986   0.00483  -0.1335   0.6449   1.0000
   4.500   1.0296   0.01021   0.00499  -0.1318   0.6101   1.0000
   4.750   1.0484   0.01067   0.00522  -0.1298   0.5770   1.0000
   5.000   1.0671   0.01108   0.00550  -0.1280   0.5443   1.0000
   5.250   1.0829   0.01159   0.00581  -0.1255   0.5066   1.0000
   5.500   1.0965   0.01217   0.00616  -0.1227   0.4660   1.0000
   5.750   1.1085   0.01280   0.00655  -0.1197   0.4231   1.0000
   6.000   1.1189   0.01344   0.00695  -0.1164   0.3822   1.0000
   6.250   1.1320   0.01408   0.00740  -0.1138   0.3463   1.0000
   6.500   1.1461   0.01473   0.00788  -0.1114   0.3121   1.0000
   6.750   1.1596   0.01546   0.00840  -0.1090   0.2762   1.0000
   7.000   1.1735   0.01620   0.00897  -0.1067   0.2432   1.0000
   7.250   1.1857   0.01709   0.00961  -0.1043   0.2037   1.0000
   7.500   1.1977   0.01803   0.01030  -0.1019   0.1658   1.0000
   7.750   1.2112   0.01890   0.01098  -0.0998   0.1389   1.0000
   8.000   1.2262   0.01969   0.01165  -0.0979   0.1199   1.0000
   8.250   1.2415   0.02045   0.01233  -0.0961   0.1028   1.0000
   8.500   1.2562   0.02125   0.01305  -0.0942   0.0896   1.0000
   8.750   1.2717   0.02201   0.01377  -0.0925   0.0772   1.0000
   9.000   1.2862   0.02284   0.01454  -0.0907   0.0678   1.0000
   9.250   1.3008   0.02365   0.01533  -0.0889   0.0605   1.0000
   9.500   1.3154   0.02448   0.01615  -0.0872   0.0545   1.0000
   9.750   1.3294   0.02534   0.01702  -0.0854   0.0491   1.0000
  10.000   1.3424   0.02628   0.01792  -0.0836   0.0434   1.0000
