# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IUBZEORPVU,0,0,1,9.979715533496006374e-01, 0.000000000000000000e+00, -6.366143813161290188e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.366143813161290188e-02, 0.000000000000000000e+00, 9.979715533496006374e-01, 0.000000000000000000e+00, 4.001277921389752024e-01, 0.000000000000000000e+00, 6.901067060229161554e-02, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,33
# x,y,z,u,w
6.516166235830744835e-01, 0.000000000000000000e+00, 5.296798819312516227e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
6.468040810051571832e-01, 0.000000000000000000e+00, 5.349869745484085032e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
6.398824630791112300e-01, 0.000000000000000000e+00, 5.420496153112408511e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
6.301310557301149640e-01, 0.000000000000000000e+00, 5.508389407915133262e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
6.167870040736603832e-01, 0.000000000000000000e+00, 5.606281073575808405e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
5.992397220817055059e-01, 0.000000000000000000e+00, 5.695134212380777161e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
5.773430155775967076e-01, 0.000000000000000000e+00, 5.742684182018821526e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
5.517469398634343714e-01, 0.000000000000000000e+00, 5.712446267090184188e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
5.239996707170930801e-01, 0.000000000000000000e+00, 5.630987762115192974e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
4.962495142954171934e-01, 0.000000000000000000e+00, 5.560397557460748652e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
4.706521168145271217e-01, 0.000000000000000000e+00, 5.535944033186351865e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
4.487559224577840622e-01, 0.000000000000000000e+00, 5.583449946495249588e-02, 1.000000000000000000e+00, 1.586533649582798411e+00
4.312333272062920386e-01, 0.000000000000000000e+00, 5.709107011313570984e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
4.180016892262711226e-01, 0.000000000000000000e+00, 5.904752810735267032e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
4.085666691278648788e-01, 0.000000000000000000e+00, 6.162663421885303944e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
4.024799121530265866e-01, 0.000000000000000000e+00, 6.492822705732072264e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
4.001277921389752024e-01, 0.000000000000000000e+00, 6.901067060229161554e-02, 1.000000000000000000e+00, 2.000000000000000000e+00
4.019893654630908308e-01, 0.000000000000000000e+00, 7.345906847523717143e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
4.077913902356992693e-01, 0.000000000000000000e+00, 7.754224303399340212e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
4.171237516816399538e-01, 0.000000000000000000e+00, 8.119537116026914747e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
4.304479025471643627e-01, 0.000000000000000000e+00, 8.440288314088817412e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
4.482802163507951243e-01, 0.000000000000000000e+00, 8.685452769756213387e-02, 1.000000000000000000e+00, 2.413466350417201589e+00
4.706875478050752681e-01, 0.000000000000000000e+00, 8.807263897909144157e-02, 1.000000000000000000e+00, 2.584161237591246607e+00
4.969127505940952316e-01, 0.000000000000000000e+00, 8.762306555295323873e-02, 1.000000000000000000e+00, 2.783663390284290440e+00
5.252673025187548639e-01, 0.000000000000000000e+00, 8.537315195787928412e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
5.534644705323843450e-01, 0.000000000000000000e+00, 8.162874370550328440e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
5.792237596507553432e-01, 0.000000000000000000e+00, 7.668776161634582866e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
6.009635386482107267e-01, 0.000000000000000000e+00, 7.111339139140603061e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
6.181603644698299149e-01, 0.000000000000000000e+00, 6.578174169087541712e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
6.310910120197146256e-01, 0.000000000000000000e+00, 6.122145639313150700e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
6.404537586026478602e-01, 0.000000000000000000e+00, 5.761459778542189769e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
6.470525239056614808e-01, 0.000000000000000000e+00, 5.491414288124869814e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
6.516166235830744835e-01, 0.000000000000000000e+00, 5.296798819312516227e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
6.492214918550354152e-01, 7.266666666666665719e-02, 5.312077564464103008e-02, 1.199999999999999956e+00, 0.000000000000000000e+00
6.444700609289011339e-01, 7.266666666666664331e-02, 5.364474574112858274e-02, 1.199999999999999956e+00, 4.173311976788848798e-02
6.376363365638209046e-01, 7.266666666666665719e-02, 5.434204138469711509e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
6.280087566097325436e-01, 7.266666666666664331e-02, 5.520981288449544611e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
6.148341532282806110e-01, 7.266666666666665719e-02, 5.617629885339925355e-02, 1.199999999999999956e+00, 2.765358755368439447e-01
5.975096938647950218e-01, 7.266666666666665719e-02, 5.705354730318798473e-02, 1.199999999999999956e+00, 4.134663504172014781e-01
5.758910407766113515e-01, 7.266666666666665719e-02, 5.752300890818581869e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
5.506199945953272890e-01, 7.266666666666665719e-02, 5.722446949412848816e-02, 1.199999999999999956e+00, 7.836633902842906618e-01
5.232250717238601245e-01, 7.266666666666665719e-02, 5.642022838151825731e-02, 1.199999999999999956e+00, 1.000000000000000000e+00
4.958272982408722385e-01, 7.266666666666665719e-02, 5.572329017048548855e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
4.705549470771998033e-01, 7.266666666666665719e-02, 5.548186013717319037e-02, 1.199999999999999956e+00, 1.415838762408753171e+00
4.489367996329233224e-01, 7.266666666666665719e-02, 5.595088677333405480e-02, 1.199999999999999956e+00, 1.586533649582798411e+00
4.316367135274820077e-01, 7.266666666666665719e-02, 5.719150096884192264e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
4.185730963472073518e-01, 7.266666666666665719e-02, 5.912311505202121065e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
