WARNING: 1 open meshes remove
     Removed: Propeller
WARNING: 2 open meshes merged
     Merged: Wing
     Merged: HorizontalStabilizer
...Mass Properties...
9 Num Comps
9 Total Num Meshes
21552 Total Num Tris

5.224430             Total Mass
0.287642 0.000015 -0.024103       Center of Gravity
0.115932 0.339408 0.411790       Ixx, Iyy, Izz
0.000084 0.046588 0.000014       Ixy, Ixz, Iyz
0.013225             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Wing	0.321889	0.500406	0.000002	0.068981	0.083183	0.000915	0.084052	-0.000000	-0.000033	0.000006	0.008006
Fuselage	0.140633	0.414268	-0.000103	0.016998	0.000261	0.006899	0.006957	0.000005	0.000032	-0.000000	0.004343
InnerFuselage	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001
HorizontalStabilizer	0.019628	1.180970	0.002087	0.064942	0.000613	0.000013	0.000626	-0.000000	0.000000	0.000000	0.000448
VerticalStabilizer	0.003439	1.178716	0.311263	0.132729	0.000007	0.000009	0.000002	-0.000000	-0.000000	-0.000000	0.000076
VerticalStabilizer	0.003276	1.178712	-0.311315	0.135516	0.000007	0.000008	0.000002	0.000000	-0.000000	0.000000	0.000072
NoseGear	0.071415	0.200105	0.000000	-0.185000	0.000017	0.000025	0.000019	0.000000	0.000000	0.000000	0.000060
MainGear	0.132175	0.442704	0.190000	-0.174635	0.000054	0.000080	0.000051	-0.000000	0.000000	-0.000000	0.000110
MainGear	0.132175	0.442704	-0.190000	-0.174635	0.000054	0.000080	0.000051	0.000000	0.000000	-0.000000	0.000110
BlankGeom	0.085000	0.162500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.030000	0.162500	0.000000	0.020000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	1.523000	0.331250	0.000000	0.010937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	2.000000	0.037500	0.000000	-0.070000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.033300	0.500000	0.000000	0.010937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.014500	0.606250	0.000000	0.053125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.033000	0.500000	0.000000	0.179687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.100000	0.687500	0.000000	-0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.331000	0.781250	0.000000	0.019978	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.142000	0.463000	0.000000	0.065000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BlankGeom	0.108000	0.813000	0.000000	0.065000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	5.224430	0.287642	0.000015	-0.024103	0.115932	0.339408	0.411790	0.000084	0.046588	0.000014	0.013225
